Source,Overall,Consistently liberal,Mostly liberal,Mixed,Mostly conservative,Consistently conservative
CNN,54%,56%,66%,61%,39%,14%
ABC News,50%,52%,59%,56%,40%,18%
NBC News,50%,56%,63%,54%,37%,16%
CBS News,46%,51%,55%,50%,36%,16%
Fox News,44%,6%,28%,47%,72%,88%
MSNBC,38%,52%,48%,39%,26%,7%
PBS,38%,71%,50%,31%,23%,8%
BBC,36%,69%,45%,28%,22%,12%
New York Times,34%,62%,45%,29%,17%,3%
USA TODAY,33%,29%,38%,38%,29%,14%
Wall Street Journal,31%,35%,34%,28%,32%,30%
NPR,29%,72%,36%,19%,14%,3%
Washington Post,27%,48%,33%,23%,17%,7%
Google News,25%,25%,26%,29%,20%,11%
Yahoo News,20%,17%,25%,22%,14%,10%
Huffington Post,18%,38%,21%,13%,10%,5%
Daily Show,16%,45%,21%,10%,5%,0%
Colbert Report,15%,36%,20%,10%,7%,2%
New Yorker,14%,32%,18%,11%,7%,1%
Economist,12%,30%,14%,7%,8%,4%
Sean Hannity Show,12%,0%,1%,6%,28%,62%
Rush Limbaugh Show,12%,0%,2%,6%,27%,58%
Bloomberg,11%,18%,13%,8%,8%,7%
Glenn Beck Program,10%,0%,1%,4%,24%,51%
Al Jazeera America,9%,28%,11%,3%,3%,3%
Drudge Report,8%,1%,2%,4%,15%,34%
Guardian,7%,21%,8%,4%,3%,2%
Politico,7%,21%,7%,2%,4%,5%
TheBlaze,6%,1%,0%,2%,13%,37%
Mother Jones,6%,25%,5%,1%,0%,1%
Breitbart,4%,0%,0%,2%,8%,25%
Slate,4%,14%,4%,1%,1%,0%
Ed Schultz Show,3%,14%,3%,0%,0%,0%
BuzzFeed,2%,6%,3%,1%,1%,0%
Daily Kos,2%,10%,1%,0%,0%,0%
ThinkProgress,2%,10%,2%,0%,0%,1%
