result,type,2012,2010,2008,2006,2004,2002,2000,1998,1996,1994,1992,1990,1988,1986,1984
All Winners,Total Cost,"1,519,454","1,398,885","1,907,270","1,885,671","1,503,719","1,290,443","1,364,737","993,978","768,069","602,009","536,918","618,705","606,434","523,759","440,912"
All Winners,Total Num,(n=62),(n=42),(n=36), (n=33) , (n=36) , (n=49) , (n=36) , (n=34) , (n=53) , (n=52) , (n=91) , (n=30) , (n=27) , (n=46) , (n=26) 
All Winners,Democrats Cost,"1,780,970","1,285,168","2,175,064","1,765,031","1,455,906","1,237,139","1,303,041","949,685","749,246","676,437","505,550","587,804","551,275","515,570","428,416"
All Winners,Democrats Num,(n=31),(n=7),(n=19),(n=20), (n=15) , (n=18) , (n=10) , (n=18) , (n=24) , (n=14) , (n=57) , (n=18) , (n=13) , (n=22) , (n=8) 
All Winners,Republicans Cost,"1,257,939","1,421,628","1,607,971","2,071,270","1,537,870","1,321,394","1,388,466","1,043,808","783,646","574,588","589,505","665,058","657,654","531,266","446,467"
All Winners,Republicans Num,(n=31),(n=35),(n=17),(n=13), (n=21) , (n=31) , (n=26) , (n=16) , (n=29) , (n=38) , (n=34) , (n=12) , (n=14) , (n=24) , (n=18) 
Winners with 60% or more,Total Cost,"1,437,065","1,173,093","1,767,021","1,170,543","1,293,878","1,143,757","1,076,754","754,860","651,225","618,153","516,055","618,152","543,935","543,382","372,989"
Winners with 60% or more,Total Num,(n=33),(n=26),(n=11),(n=15), (n=20) , (n=24) , (n=14) , (n=11) , (n=18) , (n=21) , (n=44) , (n=14) , (n=11) , (n=19) , (n=8) 
Winners with 60% or more,Democrats Cost,"1,623,438","840,294","2,206,183","1,216,683","956,768","1,299,407","968,414","657,743","593,421","587,314","395,193","523,728","391,885","537,552","290,693"
Winners with 60% or more,Democrats Num,(n=19),(n=4),(n=6),(n=11), (n=8) , (n=8) , (n=4) , (n=8) , (n=8) , (n=3) , (n=33) , (n=9) , (n=7) , (n=7) , (n=3) 
Winners with 60% or more,Republicans Cost,"1,184,130","1,233,602","1,240,028","1,043,660","1,518,618","1,065,932","1,120,090","1,013,839","697,469","623,293","878,644","788,116","810,023","546,783","422,366"
Winners with 60% or more,Republicans Num,(n=14),(n=22),(n=5),(n=4), (n=12) , (n=16) , (n=10) , (n=3) , (n=10) , (n=18) , (n=11) , (n=5) , (n=4) , (n=12) , (n=5) 
Winners with <60%,Total Cost,"1,613,208","1,710,431","1,968,979","2,481,610","1,766,019","1,431,263","1,547,998","1,108,339","828,160","591,072","556,449","619,189","649,402","509,950","471,100"
Winners with <60%,Total Num,(n=29),(n=16),(n=25),(n=18), (n=16) , (n=25) , (n=22) , (n=23) , (n=35) , (n=31) , (n=47) , (n=16) , (n=16) , (n=27) , (n=18) 
Winners with <60%,Democrats Cost,"2,030,394","1,843,009","2,160,701","2,435,235","2,026,350","1,187,325","1,526,125","1,183,239","827,158","700,743","657,293","651,880","737,230","505,312","511,049"
