result,type,2012,2010,2008,2006,2004,2002,2000,1998,1996,1994,1992,1990,1988,1986
All winners,Total Cost,"9,002,453","8,748,313","8,127,925","10,566,377","9,853,572","7,202,893","21,625,081","3,820,837","3,582,000","3,378,624","3,338,507","2,264,872","3,779,715","3,827,158"
All winners,Total Num,(n=11),(n=14),(n=5),(n=4), (n=8) , (n=7) , (n=5) , (n=5) , (n=14) , (n=9) , (n=8) , (n=3) , (n=6) , (n=7) 
All winners,Democrats Cost,"9,540,989","5,496,821","11,074,580","8,847,675","12,129,704","2,926,239","25,627,472","3,518,576","4,532,955",0,"4,177,040",0,"5,186,633","2,714,673"
All winners,Democrats Num,(n=7),(n=3),(n=3),(n=2), (n=2) , (n=1) , (n=4) , (n=2) , (n=5) ,(n=0), (n=5) ,(n=0), (n=2) , (n=4) 
All winners,Republicans Cost,"9,783,848","9,635,083","3,707,943","18,565,935","9,094,861","7,915,668","5,615,514","4,022,354","3,053,692","3,378,624","1,940,951","2,264,872","3,076,256","5,310,471"
All winners,Republicans Num,(n=3),(n=11),(n=2),(n=1), (n=6) , (n=6) , (n=1) , (n=3) , (n=9) , (n=9) , (n=3) , (n=3) , (n=4) , (n=3) 
Winners with 60% or more,Total Cost,"4,243,614","7,277,797","7,996,916","7,512,141","10,789,785",NA,NA,"2,739,093","2,518,955","2,754,664","1,191,005","1,535,352","1,879,272","2,216,412"
Winners with 60% or more,Total Num,(n=2),(n=5),(n=3),(n=2), (n=2) ,(n=0),(n=0), (n=2) , (n=2) , (n=4) , (n=1) , (n=2) , (n=2) , (n=2) 
Winners with 60% or more,Democrats Cost,"5,598,705",0,"10,178,089","9,020,059","14,372,856",NA,NA,"3,914,375","2,732,011",NA,"1,191,005",NA,"2,881,666","2,057,422"
Winners with 60% or more,Democrats Num,(n=1),(n=0),(n=2),(n=1), (n=1) ,(n=0),(n=0), (n=1) , (n=1) ,(n=0), (n=1) ,(n=0), (n=1) , (n=1) 
Winners with 60% or more,Republicans Cost,n/a,"7,277,797","3,634,570",NA,"7,206,714",NA,NA,"1,563,811","2,305,898","2,754,644",NA,"1,535,352","876,877","2,375,402"
Winners with 60% or more,Republicans Num,(n=0),(n=5),(n=1),(n=0), (n=1) ,(n=0),(n=0), (n=1) , (n=1) , (n=4) ,(n=0), (n=2) , (n=1) , (n=1) 
Winners with <60%,Total Cost,"10,059,973","9,565,266","8,324,439","13,620,613","9,541,501","7,202,893","21,625,081","4,542,000","3,759,175","3,868,793","3,645,293","3,723,911","4,729,937","4,471,457"
Winners with <60%,Total Num,(n=9),(n=9),(n=2),(n=2), (n=6) , (n=7) , (n=5) , (n=3) , (n=12) , (n=5) , (n=7) , (n=1) , (n=4) , (n=5) 
Winners with <60%,Democrats Cost,"10,198,036","5,496,821","12,867,562","8,675,291","9,886,551","2,926,239","25,627,472","3,122,776","4,983,191",NA,"4,923,549",NA,"7,491,600","2,933,757"
Winners with <60%,Democrats Num,(n=6),(n=3),(n=1),(n=1), (n=1) , (n=1) , (n=4) , (n=1) , (n=4) ,(n=0), (n=4) ,(n=0), (n=1) , (n=3) 
Winners with <60%,Republicans Cost,"9,783,848","11,599,489","3,781,316","18,565,935","9,472,491","7,915,668","5,615,514","5,251,613","3,147,166","3,868,793","1,940,951","3,723,911","3,809,383","6,778,006"
Winners with <60%,Republicans Num,(n=3),(n=6),(n=1),(n=1), (n=5) , (n=6) , (n=1) , (n=2) , (n=8) , (n=5) , (n=3) , (n=1) , (n=3) , (n=2) 
